Author,Title,Year
J. R. R. Tolkien,The Two Towers,1954
J. R. R. Tolkien,The Return of the King,1955
F. Scott Fitzgerald,This Side of Paradise,1920
F. Scott Fitzgerald,The Beautiful and Damned,1922
F. Scott Fitzgerald,The Great Gatsby,1925
F. Scott Fitzgerald,Tender Is the Night,1934
John Steinbeck,Cup of Gold,1929
John Steinbeck,The Pastures of Heaven,1932
John Steinbeck,To a God Unknown,1933
John Steinbeck,Tortilla Flat,1935
John Steinbeck,In Dubious Battle,1936
John Steinbeck,Of Mice and Men,1937
John Steinbeck,The Grapes of Wrath,1939
John Steinbeck,The Moon Is Down,1942
John Steinbeck,Cannery Row,1945
John Steinbeck,The Wayward Bus,1947
John Steinbeck,East of Eden,1952
John Steinbeck,Sweet Thursday,1954
John Steinbeck,The Winter of Our Discontent,1961
Stephen King,Carrie,1974
Stephen King,'Salem's Lot,1975
Stephen King,The Shining,1977
Stephen King,The Stand,1978
Stephen King,The Dead Zone,1979
Stephen King,Firestarter,1980
Stephen King,Cujo,1981
Stephen King,Christine,1983
Stephen King,Pet Sematary,1983
Stephen King,It,1986
Stephen King,Misery,1987
Stephen King,The Tommyknockers,1987
Stephen King,The Dark Half,1989
Stephen King,Needful Things,1991
Stephen King,Gerald's Game,1992
Stephen King,Dolores Claiborne,1993
Stephen King,Insomnia,1994
Stephen King,Desperation,1996
Stephen King,Bag of Bones,1998
Stephen King,Hearts in Atlantis,1999
Stephen King,Dreamcatcher,2001
Stephen King,Cell,2006
Stephen King,Under the Dome,2009
Stephen King,11/22/63,2011
Stephen King,Doctor Sleep,2013
J. K. Rowling,Harry Potter and the Philosopher's Stone,1997
J. K. Rowling,Harry Potter and the Chamber of Secrets,1998
J. K. Rowling,Harry Potter and the Prisoner of Azkaban,1999
J. K. Rowling,Harry Potter and the Goblet of Fire,2000
J. K. Rowling,Harry Potter and the Order of the Phoenix,2003
J. K. Rowling,Harry Potter and the Half-Blood Prince,2005
J. K. Rowling,Harry Potter and the Deathly Hallows,2007
J. K. Rowling,The Casual Vacancy,2012
J. K. Rowling,The Cuckoo's Calling,2013
J. K. Rowling,The Silkworm,2014
J. K. Rowling,Career of Evil,2015
J. K. Rowling,Lethal White,2018
Agatha Christie,The Mysterious Affair at Styles,1920
Agatha Christie,The Secret Adversary,1922
Agatha Christie,The Murder on the Links,1923
Agatha Christie,The Man in the Brown Suit,1924
Agatha Christie,The Murder of Roger Ackroyd,1926
Agatha Christie,The Mystery of the Blue Train,1928
Agatha Christie,The Seven Dials Mystery,1929
Agatha Christie,The Murder at the Vicarage,1930
Agatha Christie,Peril at End House,1932
Agatha Christie,Lord Edgware Dies,1933
Agatha Christie,Murder on the Orient Express,1934
Agatha Christie,The A.B.C. Murders,1936
Agatha Christie,Cards on the Table,1936
Agatha Christie,Death on the Nile,1937
Agatha Christie,Appointment with Death,1938
Agatha Christie,"And Then There Were None",1939
Agatha Christie,Evil Under the Sun,1941
Agatha Christie,The Body in the Library,1942
Agatha Christie,Five Little Pigs,1942
Agatha Christie,Sparkling Cyanide,1945
Agatha Christie,Crooked House,1949
Agatha Christie,A Murder Is Announced,1950
Agatha Christie,"4.50 from Paddington",1957
Agatha Christie,The Pale Horse,1961
Agatha Christie,Endless Night,1967
Victor Hugo,Han d'Islande,1823
Victor Hugo,Bug-Jargal,1826
Victor Hugo,The Last Day of a Condemned Man,1829
Victor Hugo,Notre-Dame de Paris,1831
Victor Hugo,Les Misérables,1862
Victor Hugo,Toilers of the Sea,1866
Victor Hugo,The Man Who Laughs,1869
Victor Hugo,Ninety-Three,1874
George Eliot,Adam Bede,1859
George Eliot,The Mill on the Floss,1860
George Eliot,Silas Marner,1861
George Eliot,Romola,1863
George Eliot,"Felix Holt, the Radical",1866
George Eliot,Middlemarch,1871
George Eliot,Daniel Deronda,1876
Gabriel García Márquez,Leaf Storm,1955
Gabriel García Márquez,In Evil Hour,1962
Gabriel García Márquez,One Hundred Years of Solitude,1967
Gabriel García Márquez,The Autumn of the Patriarch,1975
Gabriel García Márquez,Chronicle of a Death Foretold,1981
Gabriel García Márquez,Love in the Time of Cholera,1985
Gabriel García Márquez,The General in His Labyrinth,1989
Gabriel García Márquez,Of Love and Other Demons,1994
Gabriel García Márquez,Memories of My Melancholy Whores,2004
Alexandre Dumas,Georges,1843
Alexandre Dumas,The Three Musketeers,1844
Alexandre Dumas,The Count of Monte Cristo,1844
Alexandre Dumas,The Corsican Brothers,1844
Alexandre Dumas,Twenty Years After,1845
Alexandre Dumas,La Reine Margot,1845
Alexandre Dumas,La Dame de Monsoreau,1846
Alexandre Dumas,The Vicomte de Bragelonne,1847
Alexandre Dumas,The Black Tulip,1850
Alexandre Dumas,Ange Pitou,1853
Franz Kafka,The Trial,1925
Franz Kafka,The Castle,1926
Franz Kafka,Amerika,1927
Virginia Woolf,The Voyage Out,1915
Virginia Woolf,Night and Day,1919
Virginia Woolf,Jacob's Room,1922
Virginia Woolf,Mrs Dalloway,1925
Virginia Woolf,To the Lighthouse,1927
Virginia Woolf,Orlando,1928
Virginia Woolf,The Waves,1931
Virginia Woolf,The Years,1937
Virginia Woolf,Between the Acts,1941
James Joyce,A Portrait of the Artist as a Young Man,1916
James Joyce,Ulysses,1922
James Joyce,Finnegans Wake,1939
C. S. Lewis,Out of the Silent Planet,1938
C. S. Lewis,Perelandra,1943
C. S. Lewis,That Hideous Strength,1945
C. S. Lewis,The Lion, the Witch and the Wardrobe,1950
C. S. Lewis,Prince Caspian,1951
C. S. Lewis,The Voyage of the Dawn Treader,1952
C. S. Lewis,The Silver Chair,1953
C. S. Lewis,The Horse and His Boy,1954
C. S. Lewis,The Magician's Nephew,1955
C. S. Lewis,The Last Battle,1956
C. S. Lewis,Till We Have Faces,1956
Miguel de Cervantes,La Galatea,1585
Miguel de Cervantes,Don Quixote,1605
Miguel de Cervantes,The Trials of Persiles and Sigismunda,1617
William Faulkner,Soldiers' Pay,1926
William Faulkner,Mosquitoes,1927
William Faulkner,Sartoris,1929
William Faulkner,The Sound and the Fury,1929
William Faulkner,As I Lay Dying,1930
William Faulkner,Sanctuary,1931
William Faulkner,Light in August,1932
William Faulkner,Pylon,1935
William Faulkner,"Absalom, Absalom!",1936
William Faulkner,The Unvanquished,1938
William Faulkner,The Wild Palms,1939
William Faulkner,The Hamlet,1940
William Faulkner,Go Down Moses,1942
William Faulkner,Intruder in the Dust,1948
William Faulkner,Requiem for a Nun,1951
William Faulkner,The Town,1957
William Faulkner,The Reivers,1962
Vladimir Nabokov,Mary,1926
Vladimir Nabokov,"King, Queen, Knave",1928
Vladimir Nabokov,The Luzhin Defense,1930
Vladimir Nabokov,Glory,1932
Vladimir Nabokov,Laughter in the Dark,1932
Vladimir Nabokov,Despair,1934
Vladimir Nabokov,Invitation to a Beheading,1936
Vladimir Nabokov,The Gift,1938
Vladimir Nabokov,The Real Life of Sebastian Knight,1941
Vladimir Nabokov,Bend Sinister,1947
Vladimir Nabokov,Lolita,1955
Vladimir Nabokov,Pnin,1957
Vladimir Nabokov,Pale Fire,1962
Vladimir Nabokov,Ada or Ardor,1969
Vladimir Nabokov,Transparent Things,1972
Vladimir Nabokov,Look at the Harlequins!,1974
Toni Morrison,The Bluest Eye,1970
Toni Morrison,Sula,1973
Toni Morrison,Song of Solomon,1977
Toni Morrison,Tar Baby,1981
Toni Morrison,Beloved,1987
Toni Morrison,Jazz,1992
Toni Morrison,Paradise,1997
Toni Morrison,Love,2003
Toni Morrison,A Mercy,2008
Toni Morrison,Home,2012
Toni Morrison,God Help the Child,2015
Herman Melville,Typee,1846
Herman Melville,Omoo,1847
Herman Melville,Mardi,1849
Herman Melville,Redburn,1849
Herman Melville,White-Jacket,1850
Herman Melville,Moby-Dick,1851
Herman Melville,Pierre,1852
Herman Melville,Israel Potter,1855
Herman Melville,The Confidence-Man,1857
Thomas Hardy,Desperate Remedies,1871
Thomas Hardy,Under the Greenwood Tree,1872
Thomas Hardy,A Pair of Blue Eyes,1873
Thomas Hardy,Far from the Madding Crowd,1874
Thomas Hardy,The Hand of Ethelberta,1876
Thomas Hardy,The Return of the Native,1878
Thomas Hardy,The Trumpet-Major,1880
Thomas Hardy,A Laodicean,1881
Thomas Hardy,Two on a Tower,1882
Thomas Hardy,The Mayor of Casterbridge,1886
Thomas Hardy,The Woodlanders,1887
Thomas Hardy,Tess of the d'Urbervilles,1891
Thomas Hardy,Jude the Obscure,1895
Thomas Hardy,The Well-Beloved,1897
Arthur Conan Doyle,A Study in Scarlet,1887
Arthur Conan Doyle,Micah Clarke,1889
Arthur Conan Doyle,The Sign of Four,1890
Arthur Conan Doyle,The White Company,1891
Arthur Conan Doyle,The Refugees,1893
Arthur Conan Doyle,Rodney Stone,1896
Arthur Conan Doyle,The Hound of the Baskervilles,1902
Arthur Conan Doyle,Sir Nigel,1906
Arthur Conan Doyle,The Lost World,1912
Arthur Conan Doyle,The Valley of Fear,1915
Robert Louis Stevenson,Treasure Island,1883
Robert Louis Stevenson,The Strange Case of Dr Jekyll and Mr Hyde,1886
Robert Louis Stevenson,Kidnapped,1886
Robert Louis Stevenson,The Black Arrow,1888
Robert Louis Stevenson,The Master of Ballantrae,1889
Robert Louis Stevenson,Catriona,1893
Robert Louis Stevenson,The Ebb-Tide,1894
Lewis Carroll,Alice's Adventures in Wonderland,1865
Lewis Carroll,Through the Looking-Glass,1871
Lewis Carroll,Sylvie and Bruno,1889
Lewis Carroll,Sylvie and Bruno Concluded,1893
Aldous Huxley,Crome Yellow,1921
Aldous Huxley,Antic Hay,1923
Aldous Huxley,Those Barren Leaves,1925
Aldous Huxley,Point Counter Point,1928
Aldous Huxley,Brave New World,1932
Aldous Huxley,Eyeless in Gaza,1936
Aldous Huxley,After Many a Summer,1939
Aldous Huxley,Time Must Have a Stop,1944
Aldous Huxley,Ape and Essence,1948
Aldous Huxley,The Genius and the Goddess,1955
Aldous Huxley,Island,1962
Kurt Vonnegut,Player Piano,1952
Kurt Vonnegut,The Sirens of Titan,1959
Kurt Vonnegut,Mother Night,1961
Kurt Vonnegut,Cat's Cradle,1963
Kurt Vonnegut,"God Bless You, Mr. Rosewater",1965
Kurt Vonnegut,Slaughterhouse-Five,1969
Kurt Vonnegut,Breakfast of Champions,1973
Kurt Vonnegut,Slapstick,1976
Kurt Vonnegut,Jailbird,1979
Kurt Vonnegut,Deadeye Dick,1982
Kurt Vonnegut,Galápagos,1985
Kurt Vonnegut,Bluebeard,1987
Kurt Vonnegut,Hocus Pocus,1990
Kurt Vonnegut,Timequake,1997
Albert Camus,A Happy Death,1971
Albert Camus,The Stranger,1942
Albert Camus,The Plague,1947
Albert Camus,The Fall,1956
Marcel Proust,Swann's Way,1913
Marcel Proust,Within a Budding Grove,1919
Marcel Proust,The Guermantes Way,1920
Marcel Proust,Sodom and Gomorrah,1921
Marcel Proust,The Prisoner,1923
Marcel Proust,The Fugitive,1925
Marcel Proust,Time Regained,1927
Gustave Flaubert,Madame Bovary,1857
Gustave Flaubert,Salammbô,1862
Gustave Flaubert,Sentimental Education,1869
Gustave Flaubert,The Temptation of Saint Anthony,1874
Joseph Conrad,Almayer's Folly,1895
Joseph Conrad,An Outcast of the Islands,1896
Joseph Conrad,The Nigger of the Narcissus,1897
Joseph Conrad,Lord Jim,1900
Joseph Conrad,The Inheritors,1901
Joseph Conrad,Typhoon,1902
Joseph Conrad,Nostromo,1904
Joseph Conrad,The Secret Agent,1907
Joseph Conrad,Under Western Eyes,1911
Joseph Conrad,Chance,1913
Joseph Conrad,Victory,1915
Joseph Conrad,The Shadow Line,1917
Joseph Conrad,The Arrow of Gold,1919
Joseph Conrad,The Rescue,1920
Joseph Conrad,The Rover,1923
Charlotte Brontë,Jane Eyre,1847
Charlotte Brontë,Shirley,1849
Charlotte Brontë,Villette,1853
Charlotte Brontë,The Professor,1857
H. G. Wells,The Time Machine,1895
H. G. Wells,The Island of Doctor Moreau,1896
H. G. Wells,The Invisible Man,1897
H. G. Wells,The War of the Worlds,1898
H. G. Wells,When the Sleeper Wakes,1899
H. G. Wells,The First Men in the Moon,1901
H. G. Wells,The Food of the Gods,1904
H. G. Wells,Kipps,1905
H. G. Wells,In the Days of the Comet,1906
H. G. Wells,The War in the Air,1908
H. G. Wells,Ann Veronica,1909
H. G. Wells,Tono-Bungay,1909
H. G. Wells,The History of Mr Polly,1910
H. G. Wells,The New Machiavelli,1911
H. G. Wells,Mr. Britling Sees It Through,1916
Jules Verne,Five Weeks in a Balloon,1863
Jules Verne,Journey to the Center of the Earth,1864
Jules Verne,From the Earth to the Moon,1865
Jules Verne,In Search of the Castaways,1868
Jules Verne,Twenty Thousand Leagues Under the Sea,1870
Jules Verne,Around the World in Eighty Days,1873
Jules Verne,The Mysterious Island,1875
Jules Verne,Michael Strogoff,1876
Jules Verne,Robur the Conqueror,1886
Jules Verne,Two Years' Vacation,1888
Mary Shelley,Frankenstein,1818
Mary Shelley,Valperga,1823
Mary Shelley,The Last Man,1826
Mary Shelley,The Fortunes of Perkin Warbeck,1830
Mary Shelley,Lodore,1835
Mary Shelley,Falkner,1837
Louisa May Alcott,Moods,1864
Louisa May Alcott,Little Women,1868
Louisa May Alcott,Little Men,1871
Louisa May Alcott,Eight Cousins,1875
Louisa May Alcott,Rose in Bloom,1876
Louisa May Alcott,Under the Lilacs,1878
Louisa May Alcott,Jack and Jill,1880
Louisa May Alcott,Jo's Boys,1886
Edith Wharton,The Valley of Decision,1902
Edith Wharton,The House of Mirth,1905
Edith Wharton,The Fruit of the Tree,1907
Edith Wharton,Ethan Frome,1911
Edith Wharton,The Reef,1912
Edith Wharton,The Custom of the Country,1913
Edith Wharton,Summer,1917
Edith Wharton,The Age of Innocence,1920
Edith Wharton,The Glimpses of the Moon,1922
Edith Wharton,A Son at the Front,1923
Edith Wharton,The Mother's Recompense,1925
Edith Wharton,Twilight Sleep,1927
Edith Wharton,The Children,1928
Edith Wharton,Hudson River Bracketed,1929
Edith Wharton,The Gods Arrive,1932
Jack London,The Call of the Wild,1903
Jack London,The Sea-Wolf,1904
Jack London,White Fang,1906
Jack London,Before Adam,1907
Jack London,The Iron Heel,1908
Jack London,Martin Eden,1909
Jack London,Burning Daylight,1910
Jack London,The Valley of the Moon,1913
Jack London,The Star Rover,1915
Jack London,The Little Lady of the Big House,1916
Jack London,Jerry of the Islands,1917
Henry James,Roderick Hudson,1875
Henry James,The American,1877
Henry James,Washington Square,1880
Henry James,The Portrait of a Lady,1881
Henry James,The Bostonians,1886
Henry James,The Princess Casamassima,1886
Henry James,The Tragic Muse,1890
Henry James,The Spoils of Poynton,1897
Henry James,What Maisie Knew,1897
Henry James,The Awkward Age,1899
Henry James,The Wings of the Dove,1902
Henry James,The Ambassadors,1903
Henry James,The Golden Bowl,1904
Honoré de Balzac,Les Chouans,1829
Honoré de Balzac,The Wild Ass's Skin,1831
Honoré de Balzac,Eugénie Grandet,1833
Honoré de Balzac,Père Goriot,1835
Honoré de Balzac,Cousin Bette,1846
Honoré de Balzac,César Birotteau,1837
Honoré de Balzac,Lost Illusions,1843
Honoré de Balzac,A Harlot High and Low,1847
Honoré de Balzac,Cousin Pons,1847
Émile Zola,The Fortune of the Rougons,1871
Émile Zola,The Kill,1872
Émile Zola,The Belly of Paris,1873
Émile Zola,The Conquest of Plassans,1874
Émile Zola,The Sin of Father Mouret,1875
Émile Zola,His Excellency Eugène Rougon,1876
Émile Zola,L'Assommoir,1877
Émile Zola,A Love Episode,1878
Émile Zola,Nana,1880
Émile Zola,Pot-Bouille,1882
Émile Zola,The Ladies' Paradise,1883
Émile Zola,The Joy of Life,1884
Émile Zola,Germinal,1885
Émile Zola,The Masterpiece,1886
Émile Zola,The Earth,1887
Émile Zola,The Dream,1888
Émile Zola,The Beast in Man,1890
Émile Zola,Money,1891
Émile Zola,The Debacle,1892
Émile Zola,Doctor Pascal,1893
Thomas Mann,Buddenbrooks,1901
Thomas Mann,Royal Highness,1909
Thomas Mann,The Magic Mountain,1924
Thomas Mann,Joseph and His Brothers,1933
Thomas Mann,Lotte in Weimar,1939
Thomas Mann,Doctor Faustus,1947
Thomas Mann,The Holy Sinner,1951
Daniel Defoe,Robinson Crusoe,1719
Daniel Defoe,Captain Singleton,1720
Daniel Defoe,Moll Flanders,1722
Daniel Defoe,Colonel Jack,1722
Daniel Defoe,A Journal of the Plague Year,1722
Daniel Defoe,Roxana,1724
Jonathan Swift,Gulliver's Travels,1726
Salman Rushdie,Grimus,1975
Salman Rushdie,Midnight's Children,1981
Salman Rushdie,Shame,1983
Salman Rushdie,The Satanic Verses,1988
Salman Rushdie,Haroun and the Sea of Stories,1990
Salman Rushdie,The Moor's Last Sigh,1995
Salman Rushdie,The Ground Beneath Her Feet,1999
Salman Rushdie,Fury,2001
Salman Rushdie,Shalimar the Clown,2005
Salman Rushdie,The Enchantress of Florence,2008
Salman Rushdie,Two Years Eight Months and Twenty-Eight Nights,2015
Salman Rushdie,The Golden House,2017
Salman Rushdie,Quichotte,2019
Salman Rushdie,Victory City,2023
Chinua Achebe,Things Fall Apart,1958
Chinua Achebe,No Longer at Ease,1960
Chinua Achebe,Arrow of God,1964
Chinua Achebe,A Man of the People,1966
Chinua Achebe,Anthills of the Savannah,1987
Kazuo Ishiguro,A Pale View of Hills,1982
Kazuo Ishiguro,An Artist of the Floating World,1986
Kazuo Ishiguro,The Remains of the Day,1989
Kazuo Ishiguro,The Unconsoled,1995
Kazuo Ishiguro,When We Were Orphans,2000
Kazuo Ishiguro,Never Let Me Go,2005
Kazuo Ishiguro,The Buried Giant,2015
Kazuo Ishiguro,Klara and the Sun,2021
Margaret Atwood,The Edible Woman,1969
Margaret Atwood,Surfacing,1972
Margaret Atwood,Lady Oracle,1976
Margaret Atwood,Life Before Man,1979
Margaret Atwood,Bodily Harm,1981
Margaret Atwood,The Handmaid's Tale,1985
Margaret Atwood,Cat's Eye,1988
Margaret Atwood,The Robber Bride,1993
Margaret Atwood,Alias Grace,1996
Margaret Atwood,The Blind Assassin,2000
Margaret Atwood,Oryx and Crake,2003
Margaret Atwood,The Penelopiad,2005
Margaret Atwood,The Year of the Flood,2009
Margaret Atwood,MaddAddam,2013
Margaret Atwood,The Heart Goes Last,2015
Margaret Atwood,The Testaments,2019
Cormac McCarthy,The Orchard Keeper,1965
Cormac McCarthy,Outer Dark,1968
Cormac McCarthy,Child of God,1973
Cormac McCarthy,Suttree,1979
Cormac McCarthy,Blood Meridian,1985
Cormac McCarthy,All the Pretty Horses,1992
Cormac McCarthy,The Crossing,1994
Cormac McCarthy,Cities of the Plain,1998
Cormac McCarthy,No Country for Old Men,2005
Cormac McCarthy,The Road,2006
Cormac McCarthy,The Passenger,2022
Cormac McCarthy,Stella Maris,2022
Philip Roth,Letting Go,1962
Philip Roth,When She Was Good,1967
Philip Roth,Portnoy's Complaint,1969
Philip Roth,Our Gang,1971
Philip Roth,The Breast,1972
Philip Roth,The Great American Novel,1973
Philip Roth,My Life as a Man,1974
Philip Roth,The Professor of Desire,1977
Philip Roth,The Ghost Writer,1979
Philip Roth,Zuckerman Unbound,1981
Philip Roth,The Anatomy Lesson,1983
Philip Roth,The Counterlife,1986
Philip Roth,Deception,1990
Philip Roth,Operation Shylock,1993
Philip Roth,Sabbath's Theater,1995
Philip Roth,American Pastoral,1997
Philip Roth,I Married a Communist,1998
Philip Roth,The Human Stain,2000
Philip Roth,The Plot Against America,2004
Philip Roth,Nemesis,2010
John Updike,The Poorhouse Fair,1959
John Updike,"Rabbit, Run",1960
John Updike,The Centaur,1963
John Updike,Of the Farm,1965
John Updike,Couples,1968
John Updike,Rabbit Redux,1971
John Updike,A Month of Sundays,1975
John Updike,The Coup,1978
John Updike,Rabbit Is Rich,1981
John Updike,The Witches of Eastwick,1984
John Updike,Roger's Version,1986
John Updike,S.,1988
John Updike,Rabbit At Rest,1990
John Updike,In the Beauty of the Lilies,1996
John Updike,Villages,2004
Don DeLillo,Americana,1971
Don DeLillo,End Zone,1972
Don DeLillo,Great Jones Street,1973
Don DeLillo,Ratner's Star,1976
Don DeLillo,Players,1977
Don DeLillo,Running Dog,1978
Don DeLillo,The Names,1982
Don DeLillo,White Noise,1985
Don DeLillo,Libra,1988
Don DeLillo,Mao II,1991
Don DeLillo,Underworld,1997
Don DeLillo,The Body Artist,2001
Don DeLillo,Cosmopolis,2003
Don DeLillo,Falling Man,2007
Don DeLillo,Point Omega,2010
Don DeLillo,Zero K,2016
Don DeLillo,The Silence,2020
Thomas Pynchon,V.,1963
Thomas Pynchon,The Crying of Lot 49,1966
Thomas Pynchon,Gravity's Rainbow,1973
Thomas Pynchon,Vineland,1990
Thomas Pynchon,Mason & Dixon,1997
Thomas Pynchon,Against the Day,2006
Thomas Pynchon,Inherent Vice,2009
Thomas Pynchon,Bleeding Edge,2013
David Foster Wallace,The Broom of the System,1987
David Foster Wallace,Infinite Jest,1996
Jack Kerouac,The Town and the City,1950
Jack Kerouac,On the Road,1957
Jack Kerouac,The Dharma Bums,1958
Jack Kerouac,The Subterraneans,1958
Jack Kerouac,Doctor Sax,1959
Jack Kerouac,Maggie Cassidy,1959
Jack Kerouac,Tristessa,1960
Jack Kerouac,Big Sur,1962
Jack Kerouac,Visions of Gerard,1963
Jack Kerouac,Desolation Angels,1965
Jack Kerouac,Satori in Paris,1966
Jack Kerouac,Vanity of Duluoz,1968
Joseph Heller,Catch-22,1961
Joseph Heller,Something Happened,1974
Joseph Heller,Good as Gold,1979
Joseph Heller,God Knows,1984
Joseph Heller,Picture This,1988
Joseph Heller,Closing Time,1994
Joseph Heller,"Portrait of an Artist, as an Old Man",2000
Ray Bradbury,The Martian Chronicles,1950
Ray Bradbury,Fahrenheit 451,1953
Ray Bradbury,Dandelion Wine,1957
Ray Bradbury,Something Wicked This Way Comes,1962
Ray Bradbury,The Halloween Tree,1972
Ray Bradbury,Death Is a Lonely Business,1985
Ray Bradbury,A Graveyard for Lunatics,1990
Ray Bradbury,"Green Shadows, White Whale",1992
Ray Bradbury,From the Dust Returned,2001
Ray Bradbury,Let's All Kill Constance,2002
Ray Bradbury,Farewell Summer,2006
George R. R. Martin,Dying of the Light,1977
George R. R. Martin,Windhaven,1981
George R. R. Martin,Fevre Dream,1982
George R. R. Martin,The Armageddon Rag,1983
George R. R. Martin,A Game of Thrones,1996
George R. R. Martin,A Clash of Kings,1998
George R. R. Martin,A Storm of Swords,2000
George R. R. Martin,A Feast for Crows,2005
George R. R. Martin,A Dance with Dragons,2011
Douglas Adams,The Hitchhiker's Guide to the Galaxy,1979
Douglas Adams,The Restaurant at the End of the Universe,1980
Douglas Adams,"Life, the Universe and Everything",1982
Douglas Adams,"So Long, and Thanks for All the Fish",1984
Douglas Adams,Dirk Gently's Holistic Detective Agency,1987
Douglas Adams,The Long Dark Tea-Time of the Soul,1988
Douglas Adams,Mostly Harmless,1992
Terry Pratchett,The Colour of Magic,1983
Terry Pratchett,The Light Fantastic,1986
Terry Pratchett,Equal Rites,1987
Terry Pratchett,Mort,1987
Terry Pratchett,Sourcery,1988
Terry Pratchett,Wyrd Sisters,1988
Terry Pratchett,Guards! Guards!,1989
Terry Pratchett,Pyramids,1989
Terry Pratchett,Eric,1990
Terry Pratchett,Moving Pictures,1990
Terry Pratchett,Reaper Man,1991
Terry Pratchett,Witches Abroad,1991
Terry Pratchett,Small Gods,1992
Terry Pratchett,Men at Arms,1993
Terry Pratchett,Soul Music,1994
Terry Pratchett,Maskerade,1995
Terry Pratchett,Feet of Clay,1996
Terry Pratchett,Hogfather,1996
Terry Pratchett,The Truth,2000
Terry Pratchett,Night Watch,2002
Neil Gaiman,Good Omens,1990
Neil Gaiman,Neverwhere,1996
Neil Gaiman,Stardust,1999
Neil Gaiman,American Gods,2001
Neil Gaiman,Coraline,2002
Neil Gaiman,Anansi Boys,2005
Neil Gaiman,The Graveyard Book,2008
Neil Gaiman,The Ocean at the End of the Lane,2013
Philip K. Dick,Solar Lottery,1955
Philip K. Dick,The Man in the High Castle,1962
Philip K. Dick,Martian Time-Slip,1964
Philip K. Dick,Dr. Bloodmoney,1965
Philip K. Dick,The Three Stigmata of Palmer Eldritch,1965
Philip K. Dick,Do Androids Dream of Electric Sheep?,1968
Philip K. Dick,Ubik,1969
Philip K. Dick,"Flow My Tears, the Policeman Said",1974
Philip K. Dick,A Scanner Darkly,1977
Philip K. Dick,VALIS,1981
Philip K. Dick,The Divine Invasion,1981
Philip K. Dick,The Transmigration of Timothy Archer,1982
Isaac Asimov,Foundation,1951
Isaac Asimov,Foundation and Empire,1952
Isaac Asimov,Second Foundation,1953
Isaac Asimov,The Caves of Steel,1954
Isaac Asimov,The Naked Sun,1957
Isaac Asimov,The Gods Themselves,1972
Isaac Asimov,Foundation's Edge,1982
Isaac Asimov,The Robots of Dawn,1983
Isaac Asimov,Robots and Empire,1985
Isaac Asimov,Foundation and Earth,1986
Isaac Asimov,Prelude to Foundation,1988
Isaac Asimov,Nemesis,1989
Isaac Asimov,Forward the Foundation,1993
Frank Herbert,The Dragon in the Sea,1956
Frank Herbert,Dune,1965
Frank Herbert,Destination: Void,1966
Frank Herbert,The Santaroga Barrier,1968
Frank Herbert,Dune Messiah,1969
Frank Herbert,Whipping Star,1970
Frank Herbert,Soul Catcher,1972
Frank Herbert,Children of Dune,1976
Frank Herbert,God Emperor of Dune,1981
Frank Herbert,Heretics of Dune,1984
Frank Herbert,Chapterhouse: Dune,1985
